"id","Plu","Type","Category","Commodity","Variety","Size","Measures_na","Measures_row","Restrictions","Botanical","Aka","Status","Link","Notes","Updated_by","Updated_at","Created_at","Deleted_at","Language"
"351","3351","Global","Fruits","APPLES","Reine des Reinettes/King of the Pippins"," Large ","88 size and larger","Average Fruit Weight = 205g and above","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","2004-10-31 23:00:00","","EN"
"352","3352","Global","Fruits","APPLES","Reinettes and Heritage varieties - (incl Canada blanc Reinette du Mans, Armorique/du Vigan/Calville"," All Sizes ","","","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","2004-10-31 23:00:00","","EN"
"353","3353","Global","Fruits","APPLES","St Edmunds Pippin"," All Sizes ","","","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","2004-10-31 23:00:00","","EN"
"354","3354","Global","Fruits","AVOCADOS","Ripe/Ready-to-Eat","All Sizes ","","","Restricted from ANY use in Canada or the U.S.","Persea americana","","Approved","","","Christina D'allarco","2023-12-19 19:08:55","2002-10-15 22:00:00","","EN"
"355","3355","Global","Fruits","BERRIES","Strawberries - Nominal 500g/1 litre","All Sizes","","","Restricted from ANY use in Canada or the U.S.","Fragaria ananassa","","Approved","","","Webmaster2015","2023-12-19 19:08:55","2002-10-15 22:00:00","","EN"
"356","3356","Global","Fruits","BERRIES","Strawberries - Nominal250g/1/2 litre","All Sizes","","","Restricted from ANY use in Canada or the U.S.","Fragaria ananassa","","Approved","","","Webmaster2015","2023-12-19 19:08:55","2002-10-15 22:00:00","","EN"
"357","3357","Global","Fruits","CHERRIES","Regular/Red/Black"," Small ","","","Restricted from ANY use in Canada or the U.S.","Prunus avium","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","2002-10-15 22:00:00","","EN"
"358","3358","Global","Fruits","CHERRIES","Regular/Red/Black","  Large  ","","","Restricted from ANY use in Canada or the U.S.","Prunus avium","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","2002-10-15 22:00:00","","EN"
"359","3359","Global","Fruits","GRAPES","Chasselas","All Sizes","","","","Vitis vinifera","","Approved","","","Webmaster2015","2023-12-19 19:08:55","2004-10-31 23:00:00","","EN"
"360","3360","Global","Fruits","GRAPES","Muscat de Hambourg","All Sizes","","","","Vitis vinifera","","Approved","","","Webmaster2015","2023-12-19 19:08:55","2004-10-31 23:00:00","","EN"
"361","3361","Global","Fruits","GRAPEFRUIT","Without p/harvest treatment","All Sizes","","","Restricted from ANY use in Canada or the U.S.","Citrus paradisi","","Approved","","","Webmaster2015","2023-12-19 19:08:55","2002-10-15 22:00:00","","EN"
"362","3362","Global","Fruits","LEMONS","Without postharvest treatment","All Sizes","","","Restricted from ANY use in Canada or the U.S.","Citrus limon","","Approved","","","Webmaster2015","2023-12-19 19:08:55","2002-10-15 22:00:00","","EN"
"363","3363","Global","Fruits","MANGO","Kensington Pride"," All Sizes ","","","","Mangifera indica","Bowen","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","2002-10-15 22:00:00","","EN"
"364","3364","Global","Fruits","MANGO","R2E2","   All Sizes   ","","","","Mangifera indica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","2002-10-15 22:00:00","","EN"
"365","3365","Global","Fruits","MANGO","Ripe/Ready-to-Eat","All Sizes","","","Restricted from ANY use in Canada or the U.S.","Mangifera indica","","Approved","","","Webmaster2015","2023-12-19 19:08:55","2002-10-15 22:00:00","","EN"
